organization_name,city,province,region,country,website,organization_type,sector,certification_date,estimated_expiry_date,certifier,source,cis_preselection_notes
SO.GE.DI.CO S.R.L.,Chioggia,VE,Veneto,Italia,,azienda certificata PdR125,,2007-01-26,2010-01-26,DI.QU. S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2007-01-26; scadenza stimata 2010-01-26 assumendo validita triennale; ente certificatore: DI.QU. S.r.l.
CAPGEMINI ITALIA S.P.A,MARCON,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-16,2025-12-16,Bureau Veritas Certification Holding SAS Italy Branch,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-16; scadenza stimata 2025-12-16 assumendo validita triennale; ente certificatore: Bureau Veritas Certification Holding SAS Italy Branch
IC OUTSOURCING S.C.R.L.,Padova,PD,Veneto,Italia,,azienda certificata PdR125,,2022-12-19,2025-12-19,UNITER S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-19; scadenza stimata 2025-12-19 assumendo validita triennale; ente certificatore: UNITER S.r.l.
SOCIETA' SOCIOCULTURALE COOPERATIVA SOCIALE,Mira,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-19,2025-12-19,SUSTAINY S.r.l. a Socio unico,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-19; scadenza stimata 2025-12-19 assumendo validita triennale; ente certificatore: SUSTAINY S.r.l. a Socio unico
AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.,PADOVA,PD,Veneto,Italia,,azienda certificata PdR125,,2022-12-21,2025-12-21,CERTIQUALITY S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-21; scadenza stimata 2025-12-21 assumendo validita triennale; ente certificatore: CERTIQUALITY S.r.l.
AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.,CASTELNUOVO DEL GARDA,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-21,2025-12-21,CERTIQUALITY S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-21; scadenza stimata 2025-12-21 assumendo validita triennale; ente certificatore: CERTIQUALITY S.r.l.
AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.,VERONA,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-21,2025-12-21,CERTIQUALITY S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-21; scadenza stimata 2025-12-21 assumendo validita triennale; ente certificatore: CERTIQUALITY S.r.l.
AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.,TREVENZUOLO,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-21,2025-12-21,CERTIQUALITY S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-21; scadenza stimata 2025-12-21 assumendo validita triennale; ente certificatore: CERTIQUALITY S.r.l.
PHD S.r.l.,Verona,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-22,2025-12-22,ECO European Certifying Organization S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-22; scadenza stimata 2025-12-22 assumendo validita triennale; ente certificatore: ECO European Certifying Organization S.p.A.
Cooperativa Sociale di Solidarietà Promozione Lavoro,ALTAVILLA VICENTINA,VI,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,BUSSOLENGO,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,LONGARE,VI,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,BOVOLONE,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,CAMISANO VICENTINO,VI,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,ALBAREDO D'ADIGE,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,LAVAGNO,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,RONCADE,TV,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,CHIOGGIA,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,ROVIGO,RO,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,SCHIO,VI,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,COLOGNA VENETA,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,MONTEFORTE D'ALPONE,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,CEREA,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
